 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0031 0031 000c fffa ffcc ffd0 0001 a728 -S-- 006e:81e20700     and dx, 0007
0031 0031 000c 0002 ffcc ffd0 0001 a728 ---- 0072:83c230       add dx, 30
0031 0031 000c 0032 ffcc ffd0 0001 a728 ---- 0075:52           push dx
0031 0031 000c 0032 ffca ffd0 0001 a728 ---- 0076:e80c00       call 0085
0031 0031 000c 0032 ffc8 ffd0 0001 a728 ---- 0085:55           push bp
0031 0031 000c 0032 ffc6 ffd0 0001 a728 ---- 0086:89e5         mov bp, sp
0031 0031 000c 0032 ffc6 ffc6 0001 a728 ---- 0088:b80100       mov ax, 0001
0001 0031 000c 0032 ffc6 ffc6 0001 a728 ---- 008b:50           push ax
0001 0031 000c 0032 ffc4 ffc6 0001 a728 ---- 008c:8d4604       lea ax, [bp+4] ;[ffca]0032
ffca 0031 000c 0032 ffc4 ffc6 0001 a728 ---- 008f:50           push ax
ffca 0031 000c 0032 ffc2 ffc6 0001 a728 ---- 0090:b80100       mov ax, 0001
0001 0031 000c 0032 ffc2 ffc6 0001 a728 ---- 0093:50           push ax
0001 0031 000c 0032 ffc0 ffc6 0001 a728 ---- 0094:e84500       call 00dc
0001 0031 000c 0032 ffbe ffc6 0001 a728 ---- 00dc:e92100       jmp 0100
0001 0031 000c 0032 ffbe ffc6 0001 a728 ---- 0100:55           push bp
0001 0031 000c 0032 ffbc ffc6 0001 a728 ---- 0101:89e5         mov bp, sp
0001 0031 000c 0032 ffbc ffbc 0001 a728 ---- 0103:83ec18       sub sp, 18
0001 0031 000c 0032 ffa4 ffbc 0001 a728 -S-- 0106:8b5604       mov dx, [bp+4] ;[ffc0]0001
0001 0031 000c 0001 ffa4 ffbc 0001 a728 -S-- 0109:8956ec       mov [bp-14], dx ;[ffa8]0001
0001 0031 000c 0001 ffa4 ffbc 0001 a728 -S-- 010c:8b5608       mov dx, [bp+8] ;[ffc4]0001
0001 0031 000c 0001 ffa4 ffbc 0001 a728 -S-- 010f:8956ee       mov [bp-12], dx ;[ffaa]0001
0001 0031 000c 0001 ffa4 ffbc 0001 a728 -S-- 0112:8b5606       mov dx, [bp+6] ;[ffc2]ffca
0001 0031 000c ffca ffa4 ffbc 0001 a728 -S-- 0115:8956f2       mov [bp-e], dx ;[ffae]ffca
0001 0031 000c ffca ffa4 ffbc 0001 a728 -S-- 0118:8d46e8       lea ax, [bp-18] ;[ffa4]0000
ffa4 0031 000c ffca ffa4 ffbc 0001 a728 -S-- 011b:50           push ax
ffa4 0031 000c ffca ffa2 ffbc 0001 a728 -S-- 011c:b80400       mov ax, 0004
0004 0031 000c ffca ffa2 ffbc 0001 a728 -S-- 011f:50           push ax
0004 0031 000c ffca ffa0 ffbc 0001 a728 -S-- 0120:b80100       mov ax, 0001
0001 0031 000c ffca ffa0 ffbc 0001 a728 -S-- 0123:50           push ax
0001 0031 000c ffca ff9e ffbc 0001 a728 -S-- 0124:e80600       call 012d
